intervals,technique,fold,horizon,cosine,rmse,er_pred,er_actual
75,nav,8,23,0.02817519889972342,3.9856009731479607,5.407560258882142,4.355436756058691
75,nav,9,23,0.014344340580488169,3.035627454182135,5.0440009790349345,4.15779297336246
75,nav,0,24,0.03241543154097892,4.604204600145393,4.788676593259975,4.035043608733934
75,nav,1,24,0.024213087180185777,3.8134970776345574,5.356466198404348,4.313821933938209
75,nav,2,24,0.023475355974277412,3.7602900230033804,4.902831948299296,4.212451010948466
75,nav,3,24,0.021595426815124608,3.9271588753386713,4.482373910521628,3.9048399941889467
75,nav,4,24,0.01734996770337005,3.219559182815718,5.162262613802004,4.308202576426226
75,nav,5,24,0.0188989818466071,3.320103374859446,5.120820082560582,4.381013936998307
75,nav,6,24,0.022349080618342065,3.5462921504761735,5.595486768702514,4.4507789312477515
75,nav,7,24,0.029047144515393364,4.0900436212231535,5.333901458720894,4.242637174306542
75,nav,8,24,0.041136687647340464,5.475301860269744,4.323082689272598,3.7844049020041597
75,nav,9,24,0.028323856512313506,3.996898377768732,5.871423033443325,4.355436756058691
75,ar2,0,0,0.023571838299902503,3.878185125445509,4.984461985653686,4.545408870439585
75,ar2,1,0,0.01896254957137966,3.0897582485163455,5.480802950888342,5.032552500474465
75,ar2,2,0,0.034187701149928085,4.761330769757039,4.888065691052462,4.104181457846501
75,ar2,3,0,0.011806507610775951,2.5876447577557693,5.059378218762969,4.462647390687442
75,ar2,4,0,0.010879759973509207,2.5647800984099183,4.9142230599270444,4.5267389085736385
75,ar2,5,0,0.04746382586795572,5.089477742080879,5.384392805524566,4.829241158711842
75,ar2,6,0,0.10051772600333853,8.20401951937629,5.8284383247396825,4.327482091757218
75,ar2,7,0,0.0436041591175651,5.460119880199324,4.547163607700415,4.146709153242097
75,ar2,8,0,0.027235642059790344,4.170220992412005,5.75451990562431,4.63495999974222
75,ar2,9,0,0.08664741739643977,7.080022772745732,5.659049122106914,4.547226692983608
75,ar2,0,1,0.022681005166538037,3.698770473319737,5.578526311366507,4.670928556716118
75,ar2,1,1,0.027319677534024756,4.147637603945223,5.137615464316807,4.545408870439585
75,ar2,2,1,0.014778670048759546,2.7316711507287517,5.618294825811248,5.032552500474465
75,ar2,3,1,0.031673941893555435,4.643267941231546,4.827792585215264,4.104181457846501
75,ar2,4,1,0.011987768827768752,2.6340766280467403,5.0641511249195705,4.462647390687442
75,ar2,5,1,0.01431359673181054,2.913919895168692,5.022219659529892,4.5267389085736385
75,ar2,6,1,0.05763742052676324,5.5890402904043555,6.208581413151593,4.829241158711842
75,ar2,7,1,0.10636390911459948,8.405028062986213,5.055609703069129,4.327482091757218
75,ar2,8,1,0.05853129267561863,6.122465855083232,4.8886455884327855,4.146709153242097
75,ar2,9,1,0.03376018559600269,4.543889163352209,5.405387945588676,4.63495999974222
75,ar2,0,2,0.016953720259408334,3.2034306988399384,5.228658347612034,4.528345036766333
75,ar2,1,2,0.02415326793166639,3.8318352203800408,5.169300901482154,4.670928556716118
75,ar2,2,2,0.02759455820512524,4.1003084970845425,5.2323438159757965,4.545408870439585
75,ar2,3,2,0.02015565521592111,3.181797442318917,5.674486507735318,5.032552500474465
75,ar2,4,2,0.036659946962431245,4.897706981681871,4.971250586309104,4.104181457846501
75,ar2,5,2,0.015918601693602152,3.028310422521172,5.134808809461756,4.462647390687442
75,ar2,6,2,0.018926103590232946,3.3734285429290436,5.78641924364081,4.5267389085736385
75,ar2,7,2,0.05153035855396626,5.298135421943769,5.3768904111463405,4.829241158711842
75,ar2,8,2,0.19222364510055467,11.005451780198793,5.816143978431325,4.327482091757218
75,ar2,9,2,0.055371290579666166,5.888840985986097,5.014230193375184,4.146709153242097
75,ar2,0,3,0.05987805920042233,6.246678573821589,4.9893726550973945,4.3093610230777575
75,ar2,1,3,0.017297494746198017,3.2415424455410067,4.856054658213958,4.528345036766333
75,ar2,2,3,0.02546390383441366,3.914189162560871,5.689253622535445,4.670928556716118
75,ar2,3,3,0.03137184095572576,4.340467690779992,5.376099226291547,4.545408870439585
75,ar2,4,3,0.021375167694848374,3.2765359798854714,5.795926950330091,5.032552500474465
75,ar2,5,3,0.03726224853600624,4.931307766577058,4.965848668646845,4.104181457846501
75,ar2,6,3,0.024040759921807542,3.683885754105859,5.897115141167125,4.462647390687442
